ITHTS,HQTS(1),HQTS(2),HQTS(3),HQTS(4),HQTS(5),HQTS(6),HQTS(7),HQTS(8),HQTS(9),HQTS(10),HQTS(11),HQTS(12)
11/30/1982_24:00,431.89,211.2,126.27,9999.0,9999.0,9999.0,123.6457311089303,204.83428571428573,231.03793103448277,9999,9999,9999
12/31/1982_24:00,432.57,210.99,126.66,9999.0,9999.0,9999.0,123.27281648675171,207.61,230.13310344827588,9999,9999,9999
01/31/1983_24:00,438.71,214.79,126.98,9999.0,9999.0,9999.0,123.37095191364082,207.55,231.34137931034485,9999,9999,9999
02/28/1983_24:00,444.95,216.13,127.76,9999.0,9999.0,9999.0,123.74386653581942,207.29500000000002,232.78571428571428,9999,9999,9999
03/31/1983_24:00,453.22,217.64,127.95,9999.0,9999.0,9999.0,123.6457311089303,206.92000000000002,234.78571428571428,9999,9999,9999
04/30/1983_24:00,462.47,209.78,127.35,9999.0,9999.0,9999.0,122.58390804597701,206.51999999999998,233.46018735362998,9999,9999,9999
05/31/1983_24:00,468.49,211.15,127.89,9999.0,9999.0,9999.0,123.09617271835131,206.0,236.6866666666667,9999,9999,9999
06/30/1983_24:00,463.7,231.66,128.6,9999.0,9999.0,9999.0,123.19430814524043,207.28499999999997,234.8822393822394,9999,9999,9999
07/31/1983_24:00,459.45,233.24,129.18,9999.0,9999.0,9999.0,124.60745829244357,205.89714285714285,235.66602316602314,9999,9999,9999
08/31/1983_24:00,454.89,230.94,130.99,9999.0,9999.0,9999.0,124.41118743866535,207.03,238.75333333333333,9999,9999,9999
09/30/1983_24:00,445.25,224.8,130.49,9999.0,9999.0,9999.0,124.11678115799802,208.87391304347827,238.54000000000002,9999,9999,9999
10/31/1983_24:00,435.76,217.44,130.02,9999.0,9999.0,9999.0,124.11678115799802,207.0525,222.8091976516634,9999,9999,9999
11/30/1983_24:00,437.7,212.77,131.02,9999.0,9999.0,9999.0,123.19430814524043,204.9714285714286,230.54137931034484,9999,9999,9999
12/31/1983_24:00,438.39,210.59,130.37,9999.0,9999.0,9999.0,123.92051030421982,206.61,236.29150579150578,9999,9999,9999
01/31/1984_24:00,441.6,206.16,130.08,9999.0,9999.0,9999.0,124.70559371933265,205.62857142857143,234.59652509652508,9999,9999,9999
02/29/1984_24:00,450.12,208.37,129.2,9999.0,9999.0,9999.0,123.92051030421982,204.76,237.09333333333333,9999,9999,9999
03/31/1984_24:00,462.19,211.32,127.47,9999.0,9999.0,9999.0,124.60745829244357,206.94,233.980093676815,9999,9999,9999
04/30/1984_24:00,465.53,214.55,127.38,9999.0,9999.0,9999.0,124.21491658488713,205.93714285714285,235.87451737451735,9999,9999,9999
05/31/1984_24:00,461.68,226.24,128.14,9999.0,9999.0,9999.0,123.82237487733072,204.40571428571428,237.63333333333335,9999,9999,9999
06/30/1984_24:00,456.9,232.42,127.52,9999.0,9999.0,9999.0,124.21491658488713,205.07428571428574,238.64666666666668,9999,9999,9999
07/31/1984_24:00,454.37,232.08,127.83,9999.0,9999.0,9999.0,123.82237487733072,205.24,236.78,9999,9999,9999
08/31/1984_24:00,447.84,229.83,128.07,9999.0,9999.0,9999.0,124.31305201177625,207.085,239.69287833827892,9999,9999,9999
09/30/1984_24:00,440.21,224.58,126.9,9999.0,9999.0,9999.0,123.92051030421982,206.36,236.5,9999,9999,9999
10/31/1984_24:00,434.46,220.17,126.63,9999.0,9999.0,9999.0,123.37095191364082,205.56,226.14242424242423,9999,9999,9999
11/30/1984_24:00,437.19,218.23,127.67,9999.0,9999.0,9999.0,123.27281648675171,204.81714285714287,234.59652509652508,9999,9999,9999
12/31/1984_24:00,443.69,216.51,127.47,9999.0,9999.0,9999.0,123.46908734052992,206.41000000000003,235.07528957528956,9999,9999,9999
01/31/1985_24:00,444.21,216.18,125.83,9999.0,9999.0,9999.0,123.82237487733072,205.28000000000003,234.29391100702577,9999,9999,9999
02/28/1985_24:00,447.46,215.35,126.55,9999.0,9999.0,9999.0,123.19430814524043,204.49714285714288,232.884074941452,9999,9999,9999
03/31/1985_24:00,449.98,219.25,129.3,9999.0,9999.0,9999.0,123.54759568204122,206.45000000000002,236.29150579150578,9999,9999,9999
04/30/1985_24:00,454.95,223.69,129.82,9999.0,9999.0,9999.0,123.74386653581942,203.5032258064516,239.88575667655786,9999,9999,9999
05/31/1985_24:00,454.05,219.86,127.45,9999.0,9999.0,9999.0,123.74386653581942,204.40000000000003,239.39333333333335,9999,9999,9999
06/30/1985_24:00,453.37,216.6,127.67,9999.0,9999.0,9999.0,124.21491658488713,204.9714285714286,236.5,9999,9999,9999
07/31/1985_24:00,448.66,212.4,130.33,9999.0,9999.0,9999.0,124.60745829244357,203.79354838709676,236.5,9999,9999,9999
08/31/1985_24:00,444.55,209.1,131.92,9999.0,9999.0,9999.0,124.41118743866535,203.8258064516129,235.26447876447878,9999,9999,9999
09/30/1985_24:00,445.31,207.81,129.16,9999.0,9999.0,9999.0,124.31305201177625,206.34000000000003,231.13724137931035,9999,9999,9999
10/31/1985_24:00,441.24,209.68,129.92,9999.0,9999.0,9999.0,122.67586206896551,206.28,221.88551859099806,9999,9999,9999
11/30/1985_24:00,438.47,211.5,135.1,9999.0,9999.0,9999.0,124.31305201177625,205.66057142857144,228.8751724137931,9999,9999,9999
12/31/1985_24:00,439.64,214.44,133.6,9999.0,9999.0,9999.0,124.66633954857704,208.01608695652175,236.6866666666667,9999,9999,9999
01/31/1986_24:00,443.66,217.36,128.32,9999.0,9999.0,9999.0,125.00000000000001,206.78,236.0830115830116,9999,9999,9999
02/28/1986_24:00,453.27,232.83,130.89,9999.0,9999.0,9999.0,123.82237487733072,206.23000000000002,236.29150579150578,9999,9999,9999
03/31/1986_24:00,442.52,222.19,130.73,9999.0,9999.0,9999.0,124.21491658488713,204.52457142857145,235.87451737451735,9999,9999,9999
04/30/1986_24:00,455.46,216.62,128.43,9999.0,9999.0,9999.0,124.90186457311088,207.3675,238.43333333333334,9999,9999,9999
05/31/1986_24:00,457.9,225.99,129.7,9999.0,9999.0,9999.0,124.90186457311088,205.64000000000001,239.2866666666667,9999,9999,9999
06/30/1986_24:00,456.14,232.96,128.67,9999.0,9999.0,9999.0,123.4612365063788,207.86100000000002,239.69287833827892,9999,9999,9999
07/31/1986_24:00,454.85,230.0,130.5,9999.0,9999.0,9999.0,125.00000000000001,209.08,236.39575289575288,9999,9999,9999
08/31/1986_24:00,447.89,225.62,129.7,9999.0,9999.0,9999.0,123.60843964671245,206.69,236.29150579150578,9999,9999,9999
09/30/1986_24:00,437.33,222.33,127.34,9999.0,9999.0,9999.0,124.31305201177625,201.98,229.15655172413796,9999,9999,9999
10/31/1986_24:00,429.69,219.41,127.63,9999.0,9999.0,9999.0,123.6064769381747,199.68545454545458,229.83517241379315,9999,9999,9999
11/30/1986_24:00,426.78,216.33,131.81,9999.0,9999.0,9999.0,124.07752698724238,207.2835,225.85151515151517,9999,9999,9999
12/31/1986_24:00,425.83,212.84,133.4,9999.0,9999.0,9999.0,124.48969578017663,207.0745,229.9344827586207,9999,9999,9999
01/31/1987_24:00,428.95,209.6,131.78,9999.0,9999.0,9999.0,124.21491658488713,197.30222222222224,225.55454545454546,9999,9999,9999
02/28/1987_24:00,434.74,208.69,129.54,9999.0,9999.0,9999.0,124.27379784102061,201.60000000000002,234.18618266978925,9999,9999,9999
03/31/1987_24:00,445.55,207.64,129.58,9999.0,9999.0,9999.0,123.41413150147201,207.6615,238.64666666666668,9999,9999,9999
04/30/1987_24:00,452.11,204.92,128.42,9999.0,9999.0,9999.0,123.78312070657506,204.0777142857143,235.36100386100384,9999,9999,9999
05/31/1987_24:00,452.23,200.88,129.9,9999.0,9999.0,9999.0,123.91265947006869,203.6490322580645,234.5,9999,9999,9999
06/30/1987_24:00,451.51,196.08,129.85,9999.0,9999.0,9999.0,124.39156035328753,202.7,238.03333333333336,9999,9999,9999
07/31/1987_24:00,450.26,190.7,130.27,9999.0,9999.0,9999.0,124.45240431795878,198.42454545454547,235.26602316602316,9999,9999,9999
08/31/1987_24:00,446.98,185.2,131.37,9999.0,9999.0,9999.0,123.55348380765454,201.28,237.95999999999998,9999,9999,9999
09/30/1987_24:00,439.91,180.55,132.05,9999.0,9999.0,9999.0,124.78410206084396,199.1509090909091,235.66602316602314,9999,9999,9999
10/31/1987_24:00,433.9,178.12,133.92,9999.0,9999.0,9999.0,123.48871442590774,205.58857142857144,225.07454545454544,9999,9999,9999
11/30/1987_24:00,431.88,176.73,132.22,9999.0,9999.0,9999.0,123.84789008832188,206.43,234.97876447876448,9999,9999,9999
12/31/1987_24:00,439.58,175.33,131.1,9999.0,9999.0,9999.0,123.88518155053973,207.12600000000003,234.78725868725869,9999,9999,9999
01/31/1988_24:00,439.98,177.96,130.24,9999.0,9999.0,9999.0,123.32188420019625,206.18,233.87611241217797,9999,9999,9999
02/29/1988_24:00,444.85,178.5,130.34,9999.0,9999.0,9999.0,124.33464180569185,203.2877419354839,232.78805620608898,9999,9999,9999
03/31/1988_24:00,448.61,175.32,130.22,9999.0,9999.0,9999.0,123.45142296368988,206.17000000000002,232.884074941452,9999,9999,9999
04/30/1988_24:00,446.85,171.9,130.9,9999.0,9999.0,9999.0,123.6457311089303,206.85000000000002,237.83333333333334,9999,9999,9999
05/31/1988_24:00,448.2,167.81,129.75,9999.0,9999.0,9999.0,123.88518155053973,202.88064516129032,234.292037470726,9999,9999,9999
06/30/1988_24:00,447.69,160.42,129.8,9999.0,9999.0,9999.0,124.03827281648675,200.6246153846154,232.28868965517242,9999,9999,9999
07/31/1988_24:00,445.71,149.16,131.07,9999.0,9999.0,9999.0,123.6457311089303,200.59615384615384,235.87451737451735,9999,9999,9999
08/31/1988_24:00,444.31,138.16,130.94,9999.0,9999.0,9999.0,123.21982335623159,200.5676923076923,229.0627586206897,9999,9999,9999
09/30/1988_24:00,441.4,125.73,131.39,9999.0,9999.0,9999.0,123.70461236506378,199.32545454545453,223.69138943248532,9999,9999,9999
10/31/1988_24:00,435.37,126.12,130.28,9999.0,9999.0,9999.0,124.39352306182533,200.44230769230768,222.5567514677104,9999,9999,9999
11/30/1988_24:00,433.74,125.99,130.39,9999.0,9999.0,9999.0,123.56133464180567,200.25230769230768,221.42211350293542,9999,9999,9999
12/31/1988_24:00,437.09,125.75,129.89,9999.0,9999.0,9999.0,123.09224730127575,201.07,221.22876712328767,9999,9999,9999
01/31/1989_24:00,439.42,125.55,131.51,9999.0,9999.0,9999.0,123.32188420019625,200.1730769230769,220.74266144814092,9999,9999,9999
02/28/1989_24:00,442.93,125.26,131.66,9999.0,9999.0,9999.0,123.70068694798823,199.2927272727273,220.13822963438102,9999,9999,9999
03/31/1989_24:00,453.69,138.43,130.4,9999.0,9999.0,9999.0,123.19430814524043,203.97935483870967,227.770303030303,9999,9999,9999
04/30/1989_24:00,466.81,169.37,132.38,9999.0,9999.0,9999.0,124.62708537782139,204.5537142857143,232.59601873536297,9999,9999,9999
05/31/1989_24:00,465.81,184.77,130.07,9999.0,9999.0,9999.0,123.52796859666338,200.66307692307691,230.83600000000004,9999,9999,9999
06/30/1989_24:00,463.26,191.3,129.45,9999.0,9999.0,9999.0,123.15505397448477,200.8653846153846,232.07517241379313,9999,9999,9999
07/31/1989_24:00,459.23,188.21,130.75,9999.0,9999.0,9999.0,124.648675171737,204.31085714285717,233.46018735362998,9999,9999,9999
08/31/1989_24:00,453.21,187.58,130.31,9999.0,9999.0,9999.0,123.39057899901863,206.17000000000002,232.5,9999,9999,9999
09/30/1989_24:00,446.61,186.88,131.85,9999.0,9999.0,9999.0,123.78312070657506,204.68,231.4434482758621,9999,9999,9999
10/31/1989_24:00,440.8,188.9,127.08,9999.0,9999.0,9999.0,123.38665358194307,200.51923076923077,227.87454545454545,9999,9999,9999
11/30/1989_24:00,437.06,190.94,126.73,9999.0,9999.0,9999.0,123.23356231599607,201.03,228.96896551724137,9999,9999,9999
