STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,Datetime
NAT,M,15,STORAGE,19890901 0000,19890829 0000,8190.0,,AF,1989-09-01
NAT,M,15,STORAGE,19891001 0000,19890928 0000,7988.0,,AF,1989-10-01
NAT,M,15,STORAGE,19891101 0000,19891029 0000,7910.0,,AF,1989-11-01
NAT,M,15,STORAGE,19891201 0000,19891128 0000,7847.0,,AF,1989-12-01
NAT,M,15,STORAGE,19900101 0000,19901229 0000,7809.0,,AF,1990-01-01
NAT,M,15,STORAGE,19900201 0000,19900131 0000,7913.0,,AF,1990-02-01
NAT,M,15,STORAGE,19900301 0000,19900228 0000,7885.0,,AF,1990-03-01
NAT,M,15,STORAGE,19900401 0000,19900331 0000,8223.0,,AF,1990-04-01
NAT,M,15,STORAGE,19900501 0000,19900430 0000,8010.0,,AF,1990-05-01
NAT,M,15,STORAGE,19900601 0000,19900529 0000,8242.0,,AF,1990-06-01
NAT,M,15,STORAGE,19900701 0000,19900729 0000,8280.0,,AF,1990-07-01
NAT,M,15,STORAGE,19900801 0000,19900829 0000,8044.0,,AF,1990-08-01
NAT,M,15,STORAGE,19900901 0000,19900928 0000,7988.0,,AF,1990-09-01
NAT,M,15,STORAGE,19901001 0000,19901029 0000,7782.0,,AF,1990-10-01
NAT,M,15,STORAGE,19901101 0000,19901128 0000,7750.0,,AF,1990-11-01
NAT,M,15,STORAGE,19901201 0000,19901229 0000,7908.0,,AF,1990-12-01
NAT,M,15,STORAGE,19910101 0000,19910131 0000,7660.0,,AF,1991-01-01
NAT,M,15,STORAGE,19910201 0000,19910228 0000,8077.0,,AF,1991-02-01
NAT,M,15,STORAGE,19910301 0000,19910331 0000,7110.0,,AF,1991-03-01
NAT,M,15,STORAGE,19910401 0000,19910430 0000,7620.0,,AF,1991-04-01
NAT,M,15,STORAGE,19910501 0000,19910531 0000,7927.0,,AF,1991-05-01
NAT,M,15,STORAGE,19910601 0000,19910628 0000,7983.0,,AF,1991-06-01
NAT,M,15,STORAGE,19910701 0000,19910729 0000,8087.0,,AF,1991-07-01
NAT,M,15,STORAGE,19910801 0000,19910829 0000,7842.0,,AF,1991-08-01
NAT,M,15,STORAGE,19910901 0000,19910928 0000,7993.0,,AF,1991-09-01
NAT,M,15,STORAGE,19911001 0000,19911029 0000,7932.0,,AF,1991-10-01
NAT,M,15,STORAGE,19911101 0000,19911128 0000,7828.0,,AF,1991-11-01
NAT,M,15,STORAGE,19911201 0000,19911229 0000,7823.0,,AF,1991-12-01
NAT,M,15,STORAGE,19920101 0000,19920131 0000,7852.0,,AF,1992-01-01
